step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share
570000,267,3.702,0.147,13.80,21438,7935,54,13218,226,627,410112.7,29726.5,0.007,0.005,0.504,0.003,0.482,5706,48.23,19.13,27.79,16.27,4.98,8.47,0.23,1.16,15.22,4.68,4.98,8.47,0.082,0.139,76,0.240,0.742,0.236,0.000,0.022,7016,5174,2,0.749,0.000
580000,251,4.124,0.143,13.19,21015,8377,62,12353,239,727,409586.3,23655.0,0.008,0.004,0.526,0.002,0.459,6102,53.23,13.45,34.27,12.02,3.24,6.91,0.39,2.52,15.33,4.00,3.24,6.91,0.053,0.113,70,0.159,0.793,0.183,0.000,0.024,6737,4870,2,0.857,0.000
590000,242,4.065,0.138,13.12,20309,8621,62,11430,205,453,409651.4,23202.0,0.007,0.004,0.526,0.003,0.460,6266,55.09,6.52,37.02,9.00,1.65,5.14,0.17,0.69,16.26,3.75,1.65,5.14,0.028,0.085,77,0.178,0.893,0.083,0.000,0.025,6604,5061,2,0.921,0.000
600000,244,4.284,0.142,13.39,20002,8832,58,10819,291,278,409364.0,22646.3,0.009,0.003,0.521,0.002,0.465,6329,56.98,3.70,37.32,7.75,2.95,6.51,0.16,0.97,16.55,3.27,2.85,6.28,0.050,0.111,73,0.164,0.848,0.135,0.000,0.016,6532,4977,2,0.857,0.000
610000,264,3.905,0.130,13.31,14485,8500,57,5818,90,184,409401.4,13492.0,0.007,0.003,0.502,0.001,0.487,8422,50.09,13.95,30.46,13.93,2.77,6.25,0.08,0.55,16.78,3.58,2.56,6.18,0.055,0.113,90,0.133,0.860,0.117,0.000,0.023,4143,2793,2,0.864,0.000
620000,296,3.540,0.129,13.82,20532,7814,31,12289,366,428,409659.8,22996.6,0.009,0.005,0.521,0.003,0.462,5924,44.04,18.17,25.22,15.50,2.88,6.27,0.14,0.76,15.80,4.68,2.83,6.25,0.053,0.120,79,0.122,0.824,0.135,0.000,0.041,6494,4445,2,0.561,0.253
630000,228,4.007,0.168,14.91,13516,5805,23,7730,26,447,409923.2,23365.6,0.006,0.010,0.638,0.000,0.345,7560,56.42,3.72,34.21,7.43,3.59,6.84,0.23,1.76,18.39,3.49,3.49,6.72,0.062,0.117,77,0.171,0.838,0.154,0.000,0.009,3061,2238,2,0.776,0.000
640000,261,3.958,0.142,15.22,12876,6738,56,6007,42,282,410163.8,15754.3,0.013,0.014,0.597,0.000,0.375,7863,53.07,4.95,34.02,6.55,2.27,6.14,0.18,0.72,16.60,5.25,2.06,5.38,0.039,0.105,99,0.215,0.923,0.069,0.000,0.008,3126,1909,1,0.943,0.057
650000,264,3.767,0.134,14.89,12500,7976,77,4436,8,289,410312.0,12503.8,0.010,0.014,0.565,0.000,0.411,8012,51.95,4.32,32.96,5.43,1.45,3.89,0.55,1.63,16.99,5.66,1.32,3.54,0.027,0.069,134,0.102,0.932,0.049,0.000,0.019,2805,2003,1,1.000,0.000
660000,254,3.904,0.164,15.01,13889,8200,36,5660,3,410,409697.2,17165.7,0.017,0.018,0.468,0.000,0.497,7709,53.92,7.01,33.25,7.46,2.30,5.13,0.90,1.49,17.47,6.91,2.16,4.65,0.039,0.085,128,0.051,0.913,0.075,0.000,0.012,3182,1531,1,0.882,0.118
