step,cause,age,size,mass,n,worn
10000,hunger,50,64,164,1,0
10000,hunger,50,64,168,1,0
10000,hunger,50,68,52,2,0
10000,hunger,50,68,56,2,0
10000,hunger,50,68,72,2,0
10000,hunger,50,68,76,2,0
10000,hunger,50,68,84,2,0
10000,hunger,50,68,92,1,0
10000,hunger,50,68,108,1,0
10000,hunger,50,68,112,1,0
10000,hunger,50,68,120,2,0
10000,hunger,50,72,28,1,0
10000,hunger,50,72,36,1,0
10000,hunger,50,72,64,1,0
10000,hunger,50,72,72,1,0
10000,hunger,50,72,76,1,0
10000,hunger,50,72,80,3,0
10000,hunger,50,72,100,1,0
10000,hunger,50,72,104,1,0
10000,hunger,50,72,116,1,0
10000,hunger,50,72,124,1,0
10000,hunger,50,72,140,1,0
10000,hunger,50,72,144,1,0
10000,hunger,50,72,156,1,0
10000,hunger,50,76,36,2,0
10000,hunger,50,76,40,1,0
10000,hunger,50,76,48,1,0
10000,hunger,50,76,68,4,0
10000,hunger,50,76,76,1,0
10000,hunger,50,76,84,1,0
10000,hunger,50,76,88,2,0
10000,hunger,50,76,92,2,0
10000,hunger,50,76,100,2,0
10000,hunger,50,76,116,1,0
10000,hunger,50,76,132,1,0
10000,hunger,50,76,160,1,0
10000,hunger,50,80,36,1,0
10000,hunger,50,80,40,5,0
10000,hunger,50,80,48,2,0
10000,hunger,50,80,56,4,1
10000,hunger,50,80,60,2,0
10000,hunger,50,80,64,5,0
10000,hunger,50,80,68,9,0
10000,hunger,50,80,72,10,0
10000,hunger,50,80,76,8,0
10000,hunger,50,80,80,12,0
10000,hunger,50,80,84,14,0
10000,hunger,50,80,88,4,0
10000,hunger,50,80,92,2,1
10000,hunger,50,80,96,4,0
10000,hunger,50,80,100,4,0
10000,hunger,50,80,104,7,0
10000,hunger,50,80,108,4,0
10000,hunger,50,80,112,2,0
10000,hunger,50,80,116,2,0
10000,hunger,50,80,120,2,0
10000,hunger,50,80,124,1,0
10000,hunger,50,80,128,2,0
10000,hunger,50,80,136,5,0
10000,hunger,50,80,140,2,0
10000,hunger,50,80,144,1,0
10000,hunger,50,80,148,4,0
10000,hunger,50,80,152,1,0
10000,hunger,50,80,160,9,0
10000,hunger,50,80,164,3,0
10000,hunger,50,80,172,1,0
10000,hunger,50,80,184,1,0
10000,hunger,50,80,188,1,0
10000,hunger,50,80,264,1,0
10000,hunger,50,84,152,1,0
10000,hunger,50,92,108,1,0
10000,hunger,50,92,188,1,0
10000,hunger,50,100,76,3,0
10000,hunger,50,100,80,1,0
10000,hunger,50,100,84,1,0
10000,hunger,50,100,88,1,0
10000,hunger,50,100,96,1,0
10000,hunger,50,100,168,1,0
10000,hunger,100,0,0,78,0
10000,hunger,100,0,4,20,0
10000,hunger,100,0,8,3,0
10000,hunger,100,4,0,8,0
10000,hunger,100,4,4,112,1
10000,hunger,100,4,8,51,0
10000,hunger,100,4,12,25,0
10000,hunger,100,4,16,1,0
10000,hunger,100,4,20,3,0
10000,hunger,100,8,4,19,0
10000,hunger,100,8,8,97,0
10000,hunger,100,8,12,52,1
10000,hunger,100,8,16,76,0
10000,hunger,100,8,20,41,1
10000,hunger,100,8,24,6,0
10000,hunger,100,8,28,2,0
10000,hunger,100,8,36,2,0
10000,hunger,100,8,40,1,0
10000,hunger,100,12,8,26,0
10000,hunger,100,12,12,107,0
10000,hunger,100,12,16,53,0
10000,hunger,100,12,20,214,0
10000,hunger,100,12,24,442,0
10000,hunger,100,12,28,209,2
10000,hunger,100,12,32,5,0
10000,hunger,100,12,36,2,0
10000,hunger,100,12,40,4,0
10000,hunger,100,12,44,2,0
10000,hunger,100,16,12,15,0
10000,hunger,100,16,16,76,0
10000,hunger,100,16,20,63,0
10000,hunger,100,16,24,195,0
10000,hunger,100,16,28,1885,8
10000,hunger,100,16,32,567,2
10000,hunger,100,16,36,144,1
10000,hunger,100,16,40,14,0
10000,hunger,100,16,44,3,0
10000,hunger,100,16,48,3,0
10000,hunger,100,16,52,2,0
10000,hunger,100,16,56,3,0
10000,hunger,100,16,64,1,0
10000,hunger,100,20,12,3,0
10000,hunger,100,20,16,25,0
10000,hunger,100,20,20,41,0
10000,hunger,100,20,24,68,0
10000,hunger,100,20,28,142,1
10000,hunger,100,20,32,218,0
10000,hunger,100,20,36,482,1
