step,lat,wood_class,cells,grown,grass,wood,temp,bodies,felt,over,under,fill,rain
5000,20,2,3594,868.6564,417.03,12136.92,38.84,444,24.13,10.265,8.396,0.6125,514.383
5000,30,0,4755,286.9462,268.88,73.29,14.10,69,34.18,14.388,3.973,0.1007,143.413
5000,30,1,2036,336.2851,180.30,826.28,37.92,91,33.52,14.061,4.230,0.2612,328.263
5000,30,2,2483,521.9845,202.73,7398.62,30.58,215,25.23,10.125,7.305,0.6276,502.254
5000,40,0,4983,375.7408,340.04,58.24,15.57,150,29.72,11.294,4.793,0.1015,86.744
5000,40,1,1476,337.6543,198.93,617.09,36.41,91,31.54,12.140,4.084,0.3228,293.732
5000,40,2,1711,284.2808,82.34,4520.45,15.66,150,23.24,8.275,7.176,0.7281,417.073
5000,50,0,4773,348.0750,407.45,25.70,11.15,79,24.16,7.567,5.827,0.0908,42.145
5000,50,1,277,40.6877,20.49,107.41,37.33,19,28.54,9.558,4.130,0.3547,207.053
5000,50,2,666,154.9821,69.90,1464.58,1.43,55,20.89,6.251,7.121,0.8343,327.528
5000,60,0,3822,82.5736,119.35,10.92,4.59,7,18.39,3.756,6.761,0.0611,15.869
5000,60,1,29,15.4062,27.48,10.72,10.23,0,19.01,3.682,6.053,0.4014,72.218
5000,60,2,4,3.7926,4.59,7.07,12.86,0,15.55,2.577,7.783,0.9241,141.735
5000,70,0,4651,26.6489,72.20,6.79,-1.62,0,14.79,1.141,6.381,0.0297,7.237
5000,70,1,5,4.1845,8.73,1.00,-4.46,0,12.20,0.590,7.846,0.5840,45.512
5000,80,0,3564,4.0922,24.77,2.52,-1.84,0,15.07,0.173,3.929,0.0086,3.472
6000,-60,0,2561,56.4106,56.89,51.20,10.93,16,2.69,0.258,14.841,0.3838,18.385
6000,-60,1,2617,113.6554,109.58,1024.97,22.03,14,0.85,0.133,16.097,0.6556,23.877
6000,-60,2,2556,112.7723,87.06,4457.18,15.21,127,-3.13,0.023,19.166,0.9639,24.698
6000,-50,0,4606,291.1096,226.81,76.02,29.16,87,12.10,2.355,10.158,0.3176,39.334
6000,-50,1,2290,257.0386,175.70,991.03,33.04,73,10.03,1.821,11.318,0.5761,57.333
6000,-50,2,1802,200.1177,116.54,4069.38,13.92,118,4.15,0.769,14.965,0.8810,60.239
6000,-40,0,4890,359.9006,244.84,76.80,38.15,143,21.19,6.410,6.925,0.3204,100.459
6000,-40,1,1561,154.2321,88.24,575.99,33.61,77,19.32,5.744,7.826,0.4997,137.638
6000,-40,2,1630,252.8616,140.55,4146.00,20.57,162,11.44,3.281,11.914,0.8142,140.672
6000,-30,0,2444,319.8759,160.23,42.48,46.79,128,27.79,10.237,5.209,0.4173,251.057
6000,-30,1,2101,207.7145,96.19,827.83,40.58,114,26.11,9.540,5.956,0.4506,251.588
6000,-30,2,3632,399.2067,190.77,12706.64,22.19,353,16.37,5.903,10.519,0.8174,277.261
