step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place
100000,4,4,0,0,0,4,0,1.00,22,0.000,2079,2.28,133.20,0.00,147,8,8
100000,5,5,0,0,0,5,0,1.00,20,0.000,2074,1.88,161.04,0.00,101,8,8
100000,5,5,0,0,0,5,0,1.00,20,0.000,2067,2.40,111.66,0.00,147,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2067,1.52,123.39,0.00,101,8,8
100000,5,5,0,0,0,5,0,1.00,20,0.000,2066,2.19,192.79,0.00,147,8,8
100000,9,11,0,0,0,9,0,1.00,14,0.000,2065,1.89,184.62,0.00,147,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2063,1.23,123.10,0.00,147,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2058,1.83,114.19,0.00,101,8,8
100000,7,7,0,0,0,7,0,1.00,20,0.000,2049,2.12,132.91,0.00,29,8,8
100000,6,6,0,0,0,6,0,1.00,18,0.000,2046,2.21,133.78,0.00,101,8,8
100000,9,9,0,0,0,9,0,1.00,12,0.000,2030,1.34,173.94,0.00,147,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2018,1.16,116.69,0.00,101,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2015,1.96,159.48,0.00,147,8,8
100000,5,5,0,0,0,5,0,1.00,20,0.000,2012,1.16,152.90,0.00,101,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2012,2.26,118.45,0.00,101,8,8
100000,3,5,0,0,0,3,0,1.00,24,0.000,2010,2.15,123.24,0.00,147,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2005,1.75,119.07,0.00,101,8,8
100000,4,4,0,0,0,4,0,1.00,24,0.000,2003,1.18,117.59,0.00,70,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2001,1.71,99.99,0.00,101,8,8
100000,5,5,0,0,0,5,0,1.00,20,0.000,2000,1.61,130.13,0.00,147,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,1997,1.46,96.27,0.00,147,8,8
