step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat
100000,10,10,0,0,0,10,0,1.00,12,0.000,1056,2.81,76.80,15.43,35,0,0,0,1.00,1.00,1.00,3,2,8,6.7,27.456
100000,8,8,0,0,0,8,0,1.00,16,0.000,1053,2.55,128.81,33.11,35,0,0,0,1.00,1.00,1.00,3,2,8,6.1,25.272
100000,59,64,0,0,0,59,0,1.00,0,0.000,1044,7.22,606.07,246.08,35,0,0,0,1.00,1.00,1.00,6,8,8,9.4,77.676
100000,21,21,0,0,0,21,0,1.00,8,0.000,1037,1.87,264.24,6.36,268,0,0,0,1.00,1.00,1.00,3,4,8,18.6,38.369
100000,8,8,0,0,0,8,0,1.00,16,0.000,1033,1.72,15.79,38.24,35,0,0,0,1.00,1.00,1.00,5,2,8,17.1,24.792
100000,21,21,0,0,0,21,0,1.00,8,0.000,1030,3.46,271.89,141.81,268,0,0,0,1.00,1.00,1.00,2,4,8,21.4,38.110
100000,8,8,0,0,0,8,0,1.00,16,0.000,1027,1.81,76.95,34.85,35,0,0,0,1.00,1.00,1.00,3,2,8,4.8,24.648
100000,21,21,0,0,0,21,0,1.00,8,0.000,1023,3.87,288.22,141.44,268,0,0,0,1.00,1.00,1.00,2,4,8,20.3,37.851
100000,10,10,0,0,0,10,0,1.00,12,0.000,1022,1.60,60.87,4.43,35,0,0,0,1.00,1.00,1.00,5,2,8,18.2,26.572
100000,14,14,0,0,0,14,0,1.00,10,0.000,1021,1.91,222.07,54.54,35,0,0,0,1.00,1.00,1.00,4,3,8,6.1,30.630
100000,10,10,0,0,0,10,0,1.00,12,0.000,997,1.52,110.10,52.53,35,0,0,0,1.00,1.00,1.00,3,2,8,4.2,25.922
100000,10,10,0,0,0,10,0,1.00,12,0.000,994,1.96,134.85,50.60,35,0,0,0,1.00,1.00,1.00,3,2,8,7.6,25.844
100000,5,5,0,0,0,5,0,1.00,20,0.000,979,0.46,24.64,35.25,270,0,0,0,1.00,1.00,1.00,2,2,4,19.0,20.559
100000,8,8,0,0,0,8,0,1.00,16,0.000,978,2.43,98.10,10.44,35,0,0,0,1.00,1.00,1.00,3,2,8,23.0,23.472
100000,8,8,0,0,0,8,0,1.00,16,0.000,978,2.34,34.94,22.64,35,2,2,0,1.00,1.00,1.00,3,2,8,47.2,23.472
100000,12,12,0,0,0,12,0,1.00,10,0.000,973,3.11,163.97,24.66,180,0,0,0,1.00,1.00,1.00,6,3,8,20.4,27.244
100000,10,10,0,0,0,10,0,1.00,12,0.000,973,2.65,112.26,38.53,35,0,0,0,1.00,1.00,1.00,5,2,8,7.6,25.298
100000,8,8,0,0,0,8,0,1.00,16,0.000,971,2.19,57.65,4.20,35,2,2,0,1.00,1.00,1.00,5,2,8,58.1,23.304
100000,10,10,0,0,0,10,0,1.00,12,0.000,969,2.57,115.97,30.56,35,0,0,0,1.00,1.00,1.00,3,2,8,17.4,25.194
100000,8,8,0,0,0,8,0,1.00,16,0.000,967,1.48,32.85,25.09,35,1,2,0,1.00,1.00,1.00,3,2,8,36.9,23.208
100000,8,8,0,0,0,8,0,1.00,16,0.000,965,1.16,40.42,15.89,35,2,2,0,1.00,1.00,1.00,5,2,8,50.6,23.160
100000,8,8,0,0,0,8,0,1.00,16,0.000,964,1.09,105.60,16.01,35,1,0,0,1.00,1.00,1.00,3,2,8,28.7,23.136
