step,mass,hard,muscle,sensor,digestive,attack,speed,age,energy,plant,meat
200000,54,40,0,0,14,0,0.000,934,5.65,160.65,0.00
200000,56,40,0,0,16,0,0.000,927,0.22,167.49,0.00
200000,54,40,0,0,14,0,0.000,925,4.62,154.46,0.00
200000,54,40,0,0,14,0,0.000,923,2.33,148.15,0.00
200000,54,40,0,0,14,0,0.000,901,6.01,166.89,0.00
200000,54,40,0,0,14,0,0.000,898,4.01,156.93,0.00
200000,54,40,0,0,14,0,0.000,888,5.80,164.56,0.00
200000,54,40,0,0,14,0,0.000,843,3.76,151.50,0.00
200000,54,40,0,0,14,0,0.000,842,0.94,137.31,0.00
200000,54,40,0,0,14,0,0.000,840,4.78,140.87,0.00
200000,64,28,20,0,16,20,0.312,760,2.38,130.84,47.66
200000,56,41,0,0,15,0,0.000,726,4.28,130.08,0.00
200000,64,28,20,0,16,20,0.312,725,6.06,132.57,37.87
200000,54,40,0,0,14,0,0.000,701,5.05,118.61,0.00
200000,54,40,0,0,14,0,0.000,697,3.44,127.45,0.00
200000,54,40,0,0,14,0,0.000,694,3.79,123.70,0.00
200000,53,42,0,0,11,0,0.000,692,2.15,108.35,0.00
200000,54,40,0,0,14,0,0.000,655,5.12,114.98,0.00
200000,56,41,0,0,15,0,0.000,606,3.85,113.30,0.00
200000,64,28,20,0,16,20,0.312,581,4.12,104.47,31.45
200000,64,43,2,0,19,2,0.031,545,3.60,107.95,8.86
200000,54,40,0,0,14,0,0.000,543,2.93,87.18,0.00
200000,56,40,0,0,16,0,0.000,540,4.16,91.07,0.00
200000,54,40,0,0,14,0,0.000,536,2.34,92.93,0.00
200000,54,40,0,0,14,0,0.000,525,3.23,95.77,0.00
200000,64,43,2,0,19,2,0.031,523,4.43,102.29,16.59
200000,54,40,0,0,14,0,0.000,521,6.11,97.90,0.00
200000,54,40,0,0,14,0,0.000,480,4.88,90.05,0.00
200000,54,40,0,0,14,0,0.000,464,4.00,82.84,0.00
200000,54,40,0,0,14,0,0.000,442,3.87,82.90,0.00
