step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none
740000,298,3.567,0.120,13.03,13991,6896,102,6765,185,345,409179.1,13988.2,0.000,0.282,0.188,0.147,0.383,1512,46.27,9.84,30.11,9.55,0.95,3.70,0.00,0.00,15.21,4.36,0.63,2.51,0.018,0.066,89,0.292,0.899,0.094,0.000,0.007
750000,290,3.664,0.120,12.88,14873,6027,135,8522,197,248,410040.4,17551.7,0.000,0.253,0.221,0.071,0.454,1379,46.18,12.34,28.93,13.30,1.33,4.80,0.00,0.00,15.91,4.39,1.00,3.60,0.024,0.091,82,0.221,0.879,0.097,0.000,0.024
760000,260,3.924,0.146,14.25,15407,5748,163,9294,232,308,410121.7,18897.4,0.000,0.261,0.248,0.034,0.456,1349,50.07,8.68,31.87,9.36,2.83,6.73,0.00,0.00,15.38,4.19,2.32,5.59,0.047,0.110,78,0.142,0.781,0.196,0.000,0.023
770000,268,3.813,0.138,14.87,16173,5473,138,10278,276,344,410435.5,22446.0,0.000,0.213,0.198,0.036,0.552,1225,50.32,10.94,32.30,9.48,2.22,5.47,0.00,0.00,15.80,4.43,1.95,4.57,0.044,0.108,85,0.187,0.806,0.175,0.000,0.019
780000,257,4.272,0.136,14.51,13390,6294,207,6794,106,251,410362.4,15107.6,0.000,0.281,0.197,0.028,0.494,1311,53.50,5.91,34.73,6.75,2.77,6.32,0.00,0.00,16.00,3.87,2.39,5.30,0.046,0.104,83,0.093,0.813,0.179,0.000,0.008
790000,277,3.614,0.125,13.71,14382,6984,173,6995,210,331,410414.1,14072.2,0.000,0.316,0.224,0.030,0.430,1379,46.36,16.04,28.77,14.56,2.25,5.54,0.00,0.00,15.33,4.43,1.78,4.14,0.045,0.125,95,0.134,0.755,0.209,0.000,0.036
800000,263,3.773,0.131,14.33,15291,6345,114,8604,242,211,410093.3,19132.1,0.000,0.312,0.207,0.040,0.440,1228,49.63,12.80,30.60,13.46,1.97,6.04,0.00,0.00,17.06,5.72,1.52,4.86,0.034,0.100,110,0.144,0.878,0.084,0.000,0.038
810000,270,3.618,0.129,14.30,17487,6457,85,10587,351,323,410625.1,22181.5,0.001,0.272,0.208,0.031,0.489,1083,48.76,15.30,31.78,13.84,1.18,4.46,0.00,0.00,15.79,4.65,1.04,3.74,0.019,0.071,91,0.163,0.804,0.178,0.000,0.019
820000,226,4.607,0.150,14.02,14108,5666,89,8300,97,171,409673.8,22727.4,0.000,0.271,0.239,0.014,0.476,1397,57.61,6.42,37.75,7.24,2.20,6.14,0.00,0.00,17.65,4.43,1.92,5.29,0.038,0.105,76,0.093,0.881,0.106,0.000,0.013
830000,221,4.021,0.176,12.77,11930,6189,127,5501,118,163,410209.3,13559.7,0.000,0.309,0.213,0.052,0.427,1749,51.52,15.76,30.65,13.75,4.71,8.58,0.00,0.00,16.16,4.66,3.90,6.90,0.083,0.152,80,0.100,0.643,0.330,0.000,0.027
840000,247,4.036,0.134,14.56,12759,6513,141,5994,85,226,410062.9,12948.3,0.000,0.319,0.210,0.035,0.435,1562,53.52,4.36,35.30,5.56,1.58,3.79,0.00,0.00,16.64,5.20,1.47,3.45,0.027,0.063,80,0.146,0.858,0.130,0.000,0.012
850000,261,3.960,0.127,14.46,10586,6672,167,3720,13,70,409845.7,10450.5,0.000,0.326,0.257,0.022,0.395,1735,52.77,4.38,35.00,5.57,0.77,3.53,0.00,0.00,17.00,5.52,0.57,2.69,0.013,0.058,79,0.222,0.969,0.027,0.000,0.004
860000,243,4.145,0.149,14.31,14030,5616,107,8184,141,161,409736.7,20587.5,0.001,0.203,0.331,0.012,0.454,1310,55.37,9.55,35.96,9.90,1.79,5.10,0.00,0.00,17.62,3.76,1.66,4.74,0.032,0.087,73,0.148,0.840,0.136,0.000,0.025
870000,258,3.804,0.135,13.86,12111,5585,166,6263,82,170,410131.9,14176.6,0.000,0.254,0.301,0.015,0.430,1549,52.11,10.77,32.44,10.70,2.10,5.56,0.00,0.00,17.58,4.65,1.83,4.74,0.038,0.110,119,0.078,0.841,0.120,0.000,0.039
880000,194,4.771,0.189,14.80,13153,6494,73,6609,41,237,409916.0,18018.5,0.000,0.321,0.253,0.049,0.377,1435,57.06,3.02,31.90,7.69,7.08,8.79,0.00,0.00,18.08,3.48,6.95,8.51,0.123,0.153,79,0.216,0.670,0.304,0.000,0.026
890000,235,4.168,0.139,14.83,12525,6263,98,6016,107,244,409699.6,15269.1,0.000,0.387,0.240,0.044,0.329,1446,58.04,3.01,38.31,4.98,1.37,4.69,0.00,0.00,18.36,3.33,1.37,4.69,0.024,0.081,95,0.094,0.923,0.060,0.000,0.017
