step,cause,age,size,mass,n,worn
10000,hunger,100,168,304,1,0
10000,hunger,150,0,0,61,0
10000,hunger,150,0,4,3,0
10000,hunger,150,4,0,25,0
10000,hunger,150,4,4,140,0
10000,hunger,150,4,8,26,0
10000,hunger,150,4,12,7,0
10000,hunger,150,4,16,3,0
10000,hunger,150,4,24,2,0
10000,hunger,150,8,4,55,0
10000,hunger,150,8,8,156,1
10000,hunger,150,8,12,27,0
10000,hunger,150,8,16,11,1
10000,hunger,150,8,20,2,0
10000,hunger,150,8,24,1,0
10000,hunger,150,8,28,1,0
10000,hunger,150,12,4,2,0
10000,hunger,150,12,8,30,0
10000,hunger,150,12,12,51,0
10000,hunger,150,12,16,28,0
10000,hunger,150,12,20,27,0
10000,hunger,150,12,24,18,0
10000,hunger,150,12,28,6,0
10000,hunger,150,16,12,31,0
10000,hunger,150,16,16,37,0
10000,hunger,150,16,20,22,0
10000,hunger,150,16,24,47,0
10000,hunger,150,16,28,58,0
10000,hunger,150,16,32,33,0
10000,hunger,150,16,36,6,0
10000,hunger,150,16,40,1,0
10000,hunger,150,16,44,2,0
10000,hunger,150,16,56,2,0
10000,hunger,150,20,12,2,0
10000,hunger,150,20,16,9,0
10000,hunger,150,20,20,35,0
10000,hunger,150,20,24,28,0
10000,hunger,150,20,28,22,0
10000,hunger,150,20,32,29,0
10000,hunger,150,20,36,36,0
10000,hunger,150,20,40,23,0
10000,hunger,150,20,44,29,0
10000,hunger,150,20,52,3,0
10000,hunger,150,20,56,1,0
10000,hunger,150,24,16,1,0
10000,hunger,150,24,20,20,0
10000,hunger,150,24,24,34,0
10000,hunger,150,24,28,63,0
10000,hunger,150,24,32,54,0
10000,hunger,150,24,36,127,0
10000,hunger,150,24,40,383,0
10000,hunger,150,24,44,199,0
10000,hunger,150,24,48,11,0
10000,hunger,150,24,52,1,0
10000,hunger,150,24,56,1,0
10000,hunger,150,24,60,1,0
10000,hunger,150,24,64,1,0
10000,hunger,150,24,68,1,0
10000,hunger,150,28,20,2,0
10000,hunger,150,28,24,8,0
10000,hunger,150,28,28,16,0
10000,hunger,150,28,32,30,0
10000,hunger,150,28,36,15,0
10000,hunger,150,28,40,17,0
10000,hunger,150,28,44,15,0
10000,hunger,150,28,48,9,0
10000,hunger,150,28,52,25,0
10000,hunger,150,28,56,13,0
10000,hunger,150,28,60,1,0
10000,hunger,150,28,64,1,0
10000,hunger,150,32,20,1,0
10000,hunger,150,32,24,2,0
10000,hunger,150,32,28,7,0
10000,hunger,150,32,32,47,0
10000,hunger,150,32,36,39,0
10000,hunger,150,32,40,41,0
10000,hunger,150,32,44,37,0
10000,hunger,150,32,48,12,0
10000,hunger,150,32,52,10,0
10000,hunger,150,32,56,28,0
10000,hunger,150,32,60,36,0
10000,hunger,150,32,64,15,0
10000,hunger,150,32,68,1,0
10000,hunger,150,36,16,1,0
10000,hunger,150,36,20,1,0
10000,hunger,150,36,24,7,0
