step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells
430000,8,355,8.85,0.04,0.09,0.11,8.62,0.00,1.02,0.000,0.042,212518.5,2585.9,2,1,2.39,1.02,1.02,0.3204,10.10,29951.3,28.8040,21.2029,4756
430000,1,16,10.06,0.00,0.38,1.50,8.19,0.00,1.00,0.000,0.113,9650.8,716.3,0,2,2.19,1.00,1.00,0.0893,0.19,587.6,30.4401,1.0579,95
430000,0,8,15.88,0.00,0.00,0.00,15.88,0.00,1.00,0.000,0.001,856.5,101.3,1,7,3.38,1.00,1.00,0.0240,0.44,107052.1,0.0000,0.0000,11533
440000,8,300,9.32,0.00,0.11,0.13,9.07,0.00,1.00,0.000,0.036,203254.7,2548.5,3,0,2.57,1.00,1.00,0.3250,4.98,26289.7,30.7314,20.2974,4802
440000,1,13,10.46,0.23,0.00,0.00,10.23,0.00,1.10,0.000,0.088,8846.5,386.8,1,0,2.85,1.00,1.21,0.0471,0.34,248.1,26.5774,1.0983,98
440000,0,2,18.00,0.00,0.00,0.00,18.00,0.00,1.00,0.000,0.000,846.1,61.0,1,2,4.50,1.00,1.00,0.0196,1.68,109498.6,0.0000,0.0000,11484
450000,8,528,10.05,0.00,0.02,0.09,9.94,0.00,1.00,0.000,0.074,263258.6,3830.2,3,2,2.55,1.00,1.00,0.4577,5.47,32658.4,14.8762,26.1612,4479
450000,1,10,11.60,0.00,0.00,0.00,11.60,0.00,1.00,0.000,0.077,9379.4,243.6,1,0,3.30,1.00,1.00,0.0311,0.41,164.6,34.7588,1.0183,96
450000,0,1,9.00,0.00,0.00,0.00,9.00,0.00,1.00,0.000,0.000,3674.8,1102.1,1,1,4.00,1.00,1.00,0.1614,1.44,105583.2,0.0000,0.0000,11809
460000,8,479,11.30,0.00,0.05,0.09,11.16,0.00,1.00,0.000,0.071,275020.1,4286.7,2,1,2.43,1.00,1.00,0.5151,5.17,32351.3,13.7685,27.4067,4780
460000,1,7,10.29,0.00,0.00,2.71,7.57,0.00,1.00,0.000,0.046,4827.1,111.2,1,0,2.43,1.00,1.00,0.0145,0.00,183.0,52.3292,0.6486,98
460000,0,3,7.67,0.00,0.00,0.33,7.33,0.00,1.00,0.000,0.000,1446.1,49.4,0,1,3.67,1.00,1.00,0.0169,1.56,105314.7,0.0000,0.0000,11506
470000,8,515,11.07,0.00,0.08,0.07,10.92,0.00,1.00,0.000,0.074,268457.6,4112.6,3,0,2.46,1.00,1.00,0.4935,6.85,38310.7,17.7574,26.7906,4802
470000,1,5,8.00,0.00,0.00,0.20,7.80,0.00,1.00,0.000,0.026,6475.5,237.2,1,0,1.80,1.00,1.00,0.0292,0.14,138.8,53.3815,0.7543,98
