step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side,water
100000,42.00,25,0,5,0,16,0,1.00,0,0.119,1421,0.00,0.07,0.68,481,0,0,0,1.00,1.00,1.00,4,5,5,15.6,0.000,21,2.000,0.055,5,1.000
100000,7.75,15,0,0,0,7,0,1.00,16,0.000,1414,1.25,79.82,16.08,299,0,0,0,1.00,1.00,1.00,2,2,5,21.0,20.776,7,1.108,0.354,7,1.000
100000,0.88,10,0,0,0,1,0,1.00,32,0.000,1399,0.00,82.21,5.84,629,0,0,0,1.00,1.00,1.00,1,1,1,20.1,4.399,1,0.880,0.412,9,1.000
100000,8.80,10,0,0,0,10,0,1.00,22,0.000,1398,0.00,37.22,11.38,629,1,1,0,1.00,1.00,1.00,4,2,5,36.5,6.257,10,0.880,0.412,9,1.000
100000,8.00,25,0,2,0,2,0,1.00,10,0.250,1397,0.00,27.94,23.09,682,0,0,0,1.00,1.00,1.00,2,3,2,20.3,19.391,4,2.000,0.111,5,1.000
100000,44.00,22,6,0,0,10,0,3.56,2,0.000,1397,0.69,20.37,1.52,682,0,0,0,3.00,4.75,3.30,4,5,4,20.7,0.069,16,2.000,0.284,5,1.000
100000,4.00,16,0,0,0,2,0,1.00,10,0.000,1393,1.91,49.52,38.39,682,1,0,0,1.00,1.00,1.00,1,1,2,32.0,19.966,2,2.000,0.139,4,1.000
100000,15.80,24,0,0,0,19,0,1.00,14,0.000,1392,1.54,104.45,4.81,629,0,0,0,1.00,1.00,1.00,4,5,6,14.9,54.892,19,0.832,0.380,9,1.000
100000,18.00,16,0,5,0,4,0,1.00,0,0.278,1377,2.81,55.73,188.36,481,0,1,0,1.00,1.00,1.00,2,4,4,16.9,47.154,9,2.000,0.127,4,1.000
100000,10.00,16,0,3,0,2,0,1.00,6,0.300,1372,0.00,54.23,3.81,682,0,0,0,1.00,1.00,1.00,2,2,3,23.4,50.000,5,2.000,0.131,4,1.000
100000,4.00,16,0,0,0,2,0,1.00,10,0.000,1365,0.00,30.76,25.99,682,0,1,0,1.00,1.00,1.00,1,1,2,14.8,15.199,2,2.000,0.199,4,1.000
100000,6.67,8,0,0,0,6,0,1.00,22,0.000,1364,2.58,28.74,8.02,299,1,0,0,1.00,1.00,1.00,2,3,4,34.7,1.848,6,1.111,0.410,9,1.000
100000,4.40,10,0,0,0,5,0,1.00,26,0.000,1364,0.66,47.36,15.21,629,0,1,0,1.00,1.00,1.00,2,2,3,14.3,21.993,5,0.880,0.412,9,1.000
100000,10.84,10,0,0,0,10,0,1.00,20,0.000,1362,0.00,14.80,1.34,694,0,1,0,1.00,1.00,1.00,4,3,5,11.8,0.000,10,1.084,0.461,9,1.000
100000,26.00,16,0,7,0,6,0,1.00,0,0.269,1357,4.25,105.14,66.20,682,0,0,0,1.00,1.00,1.00,2,4,4,16.8,75.386,13,2.000,0.142,4,1.000
