step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells
330000,0,3,22.00,0.00,0.00,0.00,22.00,0.00,1.00,0.000,0.000,911.8,308.6,1,1,4.00,1.00,1.00,0.0528,1.45,96484.3,0.0000,0.0000,11484
340000,8,316,8.44,0.01,0.02,0.09,8.33,0.00,1.00,0.000,0.035,158270.5,2627.5,1,0,2.61,1.00,1.01,0.3047,1.79,49173.4,40.0504,15.9443,4802
340000,1,20,11.40,0.00,0.00,0.00,11.40,0.00,1.00,0.000,0.127,12046.4,1198.2,1,0,3.10,1.00,1.00,0.1392,1.02,389.3,40.9163,1.2513,98
340000,0,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,4314.1,1541.5,0,0,-0.00,-0.00,-0.00,0.2053,1.39,85849.1,0.0000,0.0000,11484
350000,8,347,8.38,0.00,0.08,0.00,8.30,0.00,1.00,0.000,0.038,178096.3,3572.0,1,0,2.61,1.00,1.00,0.4249,7.74,40360.0,36.9794,17.6000,4802
350000,1,13,14.54,1.31,1.08,0.00,12.15,0.00,1.48,0.000,0.109,11571.1,1350.3,1,0,3.62,1.62,1.65,0.1590,0.88,533.6,40.9405,1.2037,98
350000,0,1,14.00,4.00,0.00,0.00,10.00,0.00,2.50,0.000,0.000,759.9,142.7,1,1,4.00,3.00,3.00,0.0276,1.11,95965.7,0.0000,0.0000,11484
360000,8,339,8.12,0.00,0.01,0.00,8.11,0.00,1.00,0.000,0.036,180052.4,4057.5,2,2,2.53,1.00,1.00,0.4855,5.25,38699.9,35.4540,17.9126,4760
360000,1,22,8.59,0.00,0.00,0.00,8.59,0.00,1.00,0.000,0.131,12011.1,1065.7,1,6,2.73,1.00,1.00,0.1265,0.35,862.1,31.2779,1.3163,91
360000,0,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,968.8,231.9,0,0,-0.00,-0.00,-0.00,0.0359,0.49,97311.1,0.0000,0.0000,11533
370000,8,368,8.34,0.01,0.05,0.01,8.27,0.00,1.00,0.000,0.040,179881.8,3265.4,2,2,2.55,1.00,1.00,0.3809,3.07,52581.5,37.5478,17.9180,4755
370000,1,20,8.65,0.00,0.05,0.00,8.60,0.00,1.00,0.000,0.104,12704.1,819.1,1,2,2.55,1.00,1.00,0.0936,0.04,999.1,40.9230,1.3030,96
370000,0,1,8.00,0.00,0.00,0.00,8.00,0.00,1.00,0.000,0.000,440.8,34.7,1,1,2.00,1.00,1.00,0.0080,0.28,83297.4,0.0000,0.0000,11533
380000,8,493,7.61,0.00,0.05,0.02,7.54,0.00,1.00,0.000,0.051,207563.4,3858.4,1,0,2.45,1.00,1.00,0.4464,3.92,51804.4,30.2556,20.7034,4607
380000,1,20,13.65,0.50,0.00,0.00,13.15,0.00,1.18,0.000,0.172,12909.8,1044.4,0,0,2.80,1.06,1.33,0.1234,1.44,1296.3,15.4697,1.5361,98
380000,0,4,19.00,0.00,0.00,0.00,19.00,0.00,1.00,0.000,0.000,781.6,122.3,0,1,3.75,1.00,1.00,0.0226,4.20,81331.1,0.0000,0.0000,11679
390000,8,455,8.05,0.00,0.14,0.05,7.86,0.00,1.00,0.000,0.055,240727.5,4702.3,1,0,2.44,1.00,1.00,0.5319,4.23,45471.0,18.4653,23.9448,4160
390000,1,15,10.60,0.00,0.00,0.00,10.60,0.00,1.00,0.000,0.100,12941.0,1520.4,0,0,2.80,1.00,1.00,0.1856,0.49,1876.8,0.1812,1.4589,98
390000,0,5,13.60,0.00,0.00,0.40,13.20,0.00,1.00,0.000,0.000,759.9,202.9,0,4,4.20,1.00,1.00,0.0337,0.78,86053.0,0.0000,0.0000,12126
400000,8,306,8.05,0.02,0.03,0.00,8.00,0.00,1.01,0.000,0.032,185104.1,3391.1,1,0,2.51,1.01,1.01,0.3869,2.89,40374.7,34.6828,18.4635,4802
400000,1,27,6.93,0.00,0.00,0.00,6.93,0.00,1.00,0.000,0.122,12214.5,1013.5,1,0,2.33,1.00,1.00,0.1194,0.78,1689.3,18.8515,1.2883,98
400000,0,7,6.57,0.00,0.00,0.00,6.57,0.00,1.00,0.000,0.000,908.8,153.6,1,6,2.57,1.00,1.00,0.0258,0.55,91303.9,0.0000,0.0000,11484
410000,8,315,7.83,0.00,0.00,0.00,7.83,0.00,1.00,0.000,0.033,159632.4,2976.2,1,0,2.50,1.00,1.00,0.3413,5.43,44823.1,40.3574,16.0160,4697
410000,1,24,11.17,0.00,0.00,0.00,11.17,0.00,1.00,0.000,0.166,12822.5,944.2,1,0,3.17,1.00,1.00,0.1111,0.50,1020.8,40.9377,1.3510,98
410000,0,9,12.89,0.00,0.00,0.00,12.89,0.00,1.00,0.000,0.001,950.6,120.9,2,5,3.22,1.00,1.00,0.0222,1.57,86676.9,0.0000,0.0000,11589
420000,8,344,7.97,0.02,0.04,0.02,7.89,0.00,1.01,0.000,0.037,171085.7,3211.5,1,0,2.46,1.00,1.01,0.3698,6.23,46301.4,38.3004,17.1195,4578
420000,1,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,7547.6,1129.7,0,0,-0.00,-0.00,-0.00,0.1411,0.00,797.2,34.6626,0.9542,98
420000,0,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,2062.2,612.3,0,0,-0.00,-0.00,-0.00,0.0947,0.04,84698.6,0.0000,0.0000,11708
430000,8,363,7.94,0.00,0.01,0.02,7.90,0.00,1.00,0.000,0.039,174647.2,3331.1,1,0,2.54,1.00,1.00,0.3853,4.25,46496.7,37.5883,17.4304,4626
430000,1,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,0.0,0.0,0,0,-0.00,-0.00,-0.00,0.0000,0.00,1247.8,40.8577,0.2167,98
430000,0,2,7.50,0.00,0.00,0.00,7.50,0.00,1.00,0.000,0.000,257.6,3.0,1,2,3.00,1.00,1.00,0.0029,0.07,81768.6,0.0000,0.0000,11660
440000,8,390,7.73,0.02,0.00,0.05,7.66,0.00,1.01,0.000,0.039,187118.7,3419.0,2,0,2.51,1.01,1.01,0.3960,5.02,47327.9,34.7843,18.6613,4777
440000,1,20,7.95,0.00,0.50,0.15,7.30,0.00,1.00,0.000,0.122,10860.3,1537.3,1,0,2.90,1.00,1.00,0.1909,0.24,1074.8,39.2629,1.1332,98
440000,0,2,39.50,3.50,5.00,7.50,23.50,0.00,1.20,0.000,0.000,4311.8,1701.1,1,0,6.50,1.00,1.00,0.2404,0.80,84564.7,0.0000,0.0000,11509
450000,8,359,7.81,0.01,0.06,0.00,7.74,0.00,1.00,0.000,0.036,184102.5,3440.4,3,0,2.55,1.00,1.00,0.3994,6.71,47023.7,35.5835,18.3577,4802
450000,1,17,16.82,0.00,0.41,0.00,16.41,0.00,1.00,0.000,0.182,12707.4,1554.1,1,0,3.18,1.00,1.00,0.1842,0.44,1454.3,23.4406,1.3130,98
450000,0,2,14.50,0.00,0.00,0.00,14.50,0.00,1.00,0.000,0.000,657.6,157.0,1,2,2.50,1.00,1.00,0.0290,2.77,84479.4,0.0000,0.0000,11484
460000,8,204,8.12,0.01,0.02,0.04,8.04,0.00,1.00,0.000,0.022,152711.0,3004.8,2,2,2.52,1.00,1.00,0.3472,2.45,20568.9,38.8218,15.4255,4727
460000,1,19,9.26,0.00,0.00,0.00,9.26,0.00,1.00,0.000,0.113,12673.8,1609.4,2,1,2.74,1.00,1.00,0.1896,1.60,1183.5,7.2434,1.3845,96
460000,0,1,6.00,0.00,0.00,0.00,6.00,0.00,1.00,0.000,0.000,689.5,217.5,1,1,4.00,1.00,1.00,0.0330,0.59,108937.0,0.0000,0.0000,11561
