gx,gy,land,dry,temp,predicted,region
36,13,54,0.867,36.57,0.00602,0
37,13,5,0.8171,36.56,0.0,0
48,13,19,0.5261,37.54,0.0,0
49,13,64,0.5561,36.78,0.02824,0
50,13,64,0.5424,35.84,0.03216,10
51,13,64,0.5584,35.33,0.02824,0
52,13,64,0.6019,35.37,0.02704,0
53,13,64,0.6199,35.16,0.02704,0
54,13,64,0.6593,35.55,0.02133,0
55,13,47,0.7079,36.54,0.01478,0
56,13,1,0.64,36.72,0.0,0
62,13,39,0.55,36.79,0.02824,0
63,13,51,0.5781,36.93,0.02824,0
0,14,4,0.4721,35.87,0.0,0
1,14,40,0.5131,34.92,0.03216,11
18,14,23,0.4871,35.11,0.0,0
19,14,58,0.496,34.24,0.04049,8
20,14,64,0.529,34.01,0.03216,8
21,14,64,0.5757,34.14,0.02824,0
22,14,64,0.603,33.97,0.02704,0
23,14,64,0.6205,33.74,0.02704,0
24,14,64,0.6313,33.32,0.02704,0
25,14,64,0.6495,32.99,0.03224,8
26,14,64,0.6697,32.76,0.03285,8
27,14,64,0.7029,33.07,0.01478,0
28,14,64,0.726,33.23,0.01478,0
29,14,64,0.7646,33.92,0.00729,0
30,14,64,0.796,34.5,0.00729,0
31,14,64,0.8144,34.64,0.00602,0
32,14,64,0.8213,34.34,0.00602,0
33,14,64,0.8208,33.75,0.00602,0
34,14,64,0.8319,33.72,0.00602,0
35,14,64,0.8385,33.44,0.00602,0
36,14,64,0.8564,33.76,0.00602,0
37,14,64,0.8592,34.44,0.00602,0
38,14,28,0.84,34.82,0.0,0
48,14,2,0.4623,36.46,0.0,0
49,14,49,0.5124,35.14,0.03216,10
50,14,64,0.516,33.96,0.03216,10
51,14,64,0.5146,33.0,0.04373,10
52,14,64,0.5564,32.98,0.04111,10
53,14,64,0.5811,33.01,0.02824,0
54,14,64,0.5982,32.78,0.04111,10
55,14,64,0.6727,33.76,0.02133,0
56,14,51,0.7109,34.46,0.01478,0
57,14,5,0.6984,34.52,0.0,0
58,14,1,0.2941,36.4,0.0,0
61,14,30,0.5396,34.48,0.0,0
62,14,62,0.6032,34.53,0.02704,0
63,14,22,0.5948,35.12,0.0,0
0,15,6,0.4787,31.93,0.0,0
1,15,59,0.5573,32.44,0.04111,11
19,15,20,0.4742,32.84,0.0,0
20,15,55,0.5069,32.45,0.04373,8
21,15,64,0.5124,32.09,0.04373,8
22,15,64,0.5095,31.72,0.04373,8
23,15,64,0.5084,30.73,0.04373,8
24,15,64,0.5482,30.45,0.04373,8
25,15,64,0.5962,30.56,0.04111,8
