step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest
100000,28.36,18,0,0,0,18,0,1.00,4,0.000,1092,3.82,83.03,73.75,95,0,1,0,1.00,1.00,1.00,6,8,8,24.9,74.256,18,1.576,0.628
100000,17.94,12,0,0,0,12,0,1.00,16,0.000,1082,3.19,37.41,47.73,95,0,0,0,1.00,1.00,1.00,6,8,8,25.5,60.592,12,1.495,0.570
100000,28.33,20,0,0,0,20,0,1.00,8,0.000,1075,3.16,114.72,90.32,95,1,1,0,1.00,1.00,1.00,6,8,8,28.6,77.400,20,1.416,0.521
100000,31.34,20,0,0,0,20,0,1.00,8,0.000,1068,0.96,40.69,74.94,95,0,1,0,1.00,1.00,1.00,6,8,8,20.7,76.896,20,1.567,0.588
100000,28.33,20,0,0,0,20,0,1.00,8,0.000,1049,2.88,156.70,61.21,95,1,1,0,1.00,1.00,1.00,8,8,8,32.5,75.528,20,1.416,0.521
100000,11.96,12,0,0,0,12,0,1.00,10,0.000,1034,0.32,72.46,35.43,95,0,0,0,1.00,1.00,1.00,7,8,8,23.9,57.904,12,0.997,0.483
100000,22.66,20,0,0,0,16,0,1.00,8,0.000,1026,3.69,74.37,57.84,95,0,0,0,1.00,1.00,1.00,7,8,8,12.1,62.428,16,1.416,0.521
100000,19.06,14,0,0,0,13,0,1.00,8,0.000,1019,1.71,114.82,43.82,95,1,1,0,1.00,1.00,1.00,6,8,8,32.8,56.800,13,1.466,0.470
100000,28.33,20,0,0,0,20,0,1.00,8,0.000,1013,4.19,116.61,53.65,95,1,1,0,1.00,1.00,1.00,8,8,8,35.7,72.936,20,1.416,0.521
100000,21.73,13,0,0,0,13,0,1.00,8,0.000,1011,0.82,51.89,26.36,95,1,1,0,1.00,1.00,1.00,5,8,8,30.3,58.638,13,1.671,0.515
100000,28.33,20,0,0,0,20,0,1.00,8,0.000,1001,3.50,166.43,47.78,95,1,1,0,1.00,1.00,1.00,8,8,8,28.1,72.072,20,1.416,0.521
100000,31.34,20,0,0,0,20,0,1.00,8,0.000,999,4.29,86.70,69.77,95,0,0,0,1.00,1.00,1.00,8,8,8,16.6,71.928,20,1.567,0.588
100000,19.06,14,0,0,0,13,0,1.00,8,0.000,992,2.15,82.26,16.97,95,1,1,0,1.00,1.00,1.00,4,8,8,31.8,55.291,13,1.466,0.470
100000,20.53,14,0,0,0,14,0,1.00,8,0.000,979,2.52,83.51,45.70,95,1,1,0,1.00,1.00,1.00,7,8,8,29.7,58.740,14,1.466,0.470
