step,cause,age,size,n,worn
20000,hunger,150,80,28,0
20000,hunger,150,92,3,0
20000,hunger,150,100,1,0
20000,hunger,200,0,3,0
20000,hunger,200,4,12,0
20000,hunger,200,8,10,0
20000,hunger,200,12,25,0
20000,hunger,200,16,169,1
20000,hunger,200,20,163,2
20000,hunger,200,24,685,7
20000,hunger,200,28,107,0
20000,hunger,200,32,158,1
20000,hunger,200,36,718,11
20000,hunger,200,40,20,0
20000,hunger,200,44,30,0
20000,hunger,200,48,308,5
20000,hunger,200,52,4,0
20000,hunger,200,56,1,0
20000,hunger,200,60,7,0
20000,hunger,200,64,67,1
20000,hunger,200,76,2,0
20000,hunger,200,80,15,1
20000,hunger,250,0,1,0
20000,hunger,250,4,4,0
20000,hunger,250,8,9,0
20000,hunger,250,12,19,0
20000,hunger,250,16,148,0
20000,hunger,250,20,121,0
20000,hunger,250,24,515,5
20000,hunger,250,28,52,0
20000,hunger,250,32,119,1
20000,hunger,250,36,503,10
20000,hunger,250,40,16,0
20000,hunger,250,44,17,1
20000,hunger,250,48,196,1
20000,hunger,250,52,4,0
20000,hunger,250,56,1,0
20000,hunger,250,60,7,0
20000,hunger,250,64,40,3
20000,hunger,250,80,8,1
20000,hunger,250,100,1,0
20000,hunger,300,4,2,0
20000,hunger,300,8,8,0
20000,hunger,300,12,9,0
20000,hunger,300,16,114,2
20000,hunger,300,20,102,0
20000,hunger,300,24,390,3
20000,hunger,300,28,44,2
20000,hunger,300,32,102,3
20000,hunger,300,36,359,3
20000,hunger,300,40,10,0
20000,hunger,300,44,19,0
20000,hunger,300,48,120,5
20000,hunger,300,52,1,0
20000,hunger,300,56,2,0
