step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side,water,worn,travel,drift,hidden,eta,beta,wchange
100000,22.00,16,0,8,0,3,0,1.00,0,0.364,2016,0.00,43.91,121.24,949,2,2,0,1.00,1.00,1.00,2,4,4,51.1,20.798,11,2.000,0.000,4,1.000,2,26.00,-26.00,0,0.0930,0.014,0.5024
100000,32.00,16,0,11,0,5,0,1.00,0,0.344,2013,0.40,39.69,110.34,949,0,1,0,1.00,1.00,1.00,4,4,4,3.5,36.404,16,2.000,0.000,4,1.000,0,66.22,-23.25,0,0.0935,0.110,0.3487
100000,32.00,16,0,12,0,4,0,1.00,0,0.375,2001,1.60,56.18,100.77,949,1,0,0,1.00,1.00,1.00,2,4,4,38.9,57.828,16,2.000,0.000,4,1.000,0,21.29,5.75,0,0.0925,0.008,0.4519
100000,32.00,16,0,10,0,6,0,1.00,0,0.312,1982,0.00,43.67,97.22,949,0,0,0,1.00,1.00,1.00,4,4,4,23.9,19.113,16,2.000,0.000,4,1.000,0,22.46,-15.50,0,0.0930,0.013,0.4852
100000,24.00,16,0,10,0,2,0,1.00,0,0.417,1976,0.00,47.39,106.86,949,0,2,0,1.00,1.00,1.00,4,4,4,17.7,30.443,12,2.000,0.000,4,1.000,4,59.20,-47.00,0,0.0956,0.030,0.4254
100000,28.00,16,0,8,0,6,0,1.00,0,0.286,1971,0.00,52.99,109.48,949,2,0,0,1.00,1.00,1.00,2,4,4,41.7,43.579,14,2.000,0.000,4,1.000,2,63.53,-2.00,0,0.0930,0.013,0.4480
100000,26.00,16,0,10,0,3,0,1.00,0,0.385,1952,0.00,49.04,130.64,949,0,0,0,1.00,1.00,1.00,2,4,4,19.2,47.101,13,2.000,0.000,4,1.000,1,68.33,-39.50,0,0.0925,0.008,0.4143
100000,28.00,16,0,9,0,5,0,1.00,0,0.321,1947,0.00,59.25,91.15,949,2,2,0,1.00,1.00,1.00,2,4,4,41.5,49.411,14,2.000,0.000,4,1.000,2,13.66,-11.25,0,0.0930,0.014,0.5578
100000,28.00,16,0,10,0,4,0,1.00,0,0.357,1942,0.02,45.24,100.99,949,0,0,0,1.00,1.00,1.00,2,4,4,24.0,42.138,14,2.000,0.000,4,1.000,0,19.64,-16.75,0,0.0925,0.012,0.5745
100000,4.69,29,0,2,0,2,0,1.00,22,0.426,1941,0.00,89.76,5.87,737,1,1,0,1.00,1.00,1.00,2,1,4,28.5,7.359,4,1.173,0.462,8,1.000,0,10.18,-9.25,0,0.0000,0.000,0.0000
100000,30.00,16,0,12,0,3,0,1.00,0,0.400,1940,0.00,46.83,56.43,949,2,0,0,1.00,1.00,1.00,4,4,4,45.2,20.910,15,2.000,0.000,4,1.000,1,50.21,-49.25,0,0.0925,0.008,0.3829
