step,lat,wood_class,cells,grown,grass,wood,temp,bodies,felt,over,under,fill,rain
7000,-60,0,5472,936.5436,581.94,93.66,24.57,314,17.01,3.843,7.810,0.4899,79.207
7000,-60,1,2260,684.7403,322.33,513.32,17.88,270,14.92,3.043,8.715,0.8889,116.747
7000,-60,2,2,0.7786,0.58,2.16,23.28,0,18.71,3.857,6.399,0.9257,153.787
7000,-50,0,7191,1135.2273,672.99,92.40,25.90,401,24.33,7.773,5.746,0.3534,127.831
7000,-50,1,1503,198.6807,69.48,446.57,43.65,87,23.88,7.650,6.075,0.6581,213.468
7000,-50,2,4,0.0000,0.00,6.10,24.40,0,21.95,5.456,5.326,0.8513,189.750
7000,-40,0,6356,695.5207,597.68,60.81,34.56,129,31.46,12.134,4.078,0.2941,234.997
7000,-40,1,1721,218.2238,131.25,622.07,49.38,58,30.16,11.615,4.672,0.4993,333.448
7000,-40,2,4,1.0271,1.07,4.45,15.99,1,30.10,10.426,3.444,0.7927,437.896
7000,-30,0,4307,627.9751,525.54,85.15,39.32,49,35.67,15.096,3.392,0.3029,396.973
7000,-30,1,3197,561.6805,336.89,1502.56,50.73,78,35.06,14.918,3.716,0.4682,577.159
7000,-30,2,673,182.5914,91.09,978.59,55.81,37,36.25,15.601,3.379,0.5990,776.544
7000,-20,0,1806,270.2376,312.80,39.61,33.53,1,38.18,16.993,3.077,0.2195,398.194
7000,-20,1,2434,716.2632,702.21,1006.91,45.28,11,37.59,16.704,3.269,0.3762,654.692
7000,-20,2,3979,609.5685,423.78,11418.34,55.45,155,37.00,16.418,3.497,0.6477,997.221
7000,-10,0,1814,502.4514,711.36,22.66,38.97,6,38.96,17.598,3.007,0.2455,460.208
7000,-10,1,2035,956.3008,1157.81,890.74,38.82,3,38.53,17.363,3.080,0.3411,691.266
7000,-10,2,4375,671.0287,534.96,15985.26,55.00,322,36.54,16.293,3.739,0.6851,1058.968
7000,0,0,1851,561.6164,640.97,30.23,31.23,4,37.43,16.490,3.232,0.2365,399.731
7000,0,1,1767,1076.0058,1354.62,872.16,30.48,1,37.13,16.352,3.284,0.3767,660.495
7000,0,2,4749,1197.9766,1290.76,15208.08,49.37,322,34.30,14.881,4.272,0.6822,850.081
7000,10,0,3073,805.0003,694.02,49.96,21.84,34,32.88,13.454,4.121,0.2208,252.596
7000,10,1,2815,1789.3568,2009.27,1427.00,22.80,158,32.51,13.366,4.298,0.4242,473.257
7000,10,2,3557,588.3813,475.46,9545.64,51.63,232,28.61,11.659,5.947,0.7085,542.783
7000,20,0,4143,593.5692,327.15,65.96,19.38,144,24.96,8.976,6.407,0.2141,119.751
7000,20,1,3193,1248.2873,648.69,1489.43,29.35,340,25.30,9.198,6.319,0.5208,292.812
